Site Name,Site ID,Domain Name,Domain Number,State,"Birds: Time, # Samples",,"Mammals: Time, # Samples",,"Fish: Time, # Samples",,"Beetles: Time, # Samples",,Site Type,Lat./Long.,Elevation,Mean Annual Precipitation,Mean Annual Temperature,Site Host,Dominant NLCD Classes
Bartlett Experimental Forest,BART,Northeast,D01,NH,2015-17,3,2014-18,18,,,2014-18,20,Relocatable Terrestrial,"44.06388,  -71.28731",232 m,1056 mm,8C/46.4F,U.S. Forest Service,"Deciduous Forest, Evergreen Forest, Mixed Forest"
Harvard Forest,HARV,Northeast,D01,MA,2015-17,4,2013-18,29,,,2013-18,25,Core Terrestrial,"42.5369,  -72.17266",351 m,967 mm,8C/46.4F,"Harvard University; LTER; Massachusetts Department of Conservation and Recreation, Division of Water Supply Protection","Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands"
Lower Hop Brook,HOPB,Northeast,D01,MA,,,,,2016-18,6,,,Core Aquatic,"42.47179,  -72.32963",260 m,967 mm,8C/46.4F,Quabbin DCR - Division of Water Supply Protection,"Evergreen Forest, Mixed Forest"
Blandy Experimental Farm,BLAN,Mid-Atlantic,D02,VA,2017,2,2015-18,15,,,2015-18,21,Relocatable Terrestrial,"39.06026,  -78.07164",183 m,950 mm,12C/53.6F,University of Virginia,"Deciduous Forest, Pasture/Hay"
Lewis Run,LEWI,Mid-Atlantic,D02,VA,2016-17,5,,,2017-18,3,,,Relocatable Aquatic,"39.09564,  -77.98322",152 m,950 mm,12C/53.6F,Casey Trees,Deciduous Forest
Posey Creek,POSE,Mid-Atlantic,D02,VA,,,,,2016-18,6,,,Core Aquatic,"38.89332,  -78.14678",244 m,1054 mm,13C/55.4F,Smithsonian Institution,Deciduous Forest
Smithsonian Conservation Biology Institute,SCBI,Mid-Atlantic,D02,VA,2015-17,5,2014-18,27,,,2014-18,25,Core Terrestrial,"38.89292,  -78.1395",361 m,1054 mm,13C/55.4F,Smithsonian Institution,"Deciduous Forest, Evergreen Forest, Pasture/Hay"
Smithsonian Environmental Research Center,SERC,Mid-Atlantic,D02,MD,2017,2,2015-18,14,,,2015-18,20,Relocatable Terrestrial,"38.89008,  -76.56001",15 m,1107 mm,14C/57.2F,Smithsonian Institution,"Cultivated Crops, Deciduous Forest"
Ordway-Swisher Biological Station - Barco Lake,BARC,Southeast,D03,FL,,,,,,,,,Core Aquatic,"29.67647,  -82.00909",32 m,1290 mm,20C/68F,University of Florida Foundation,Shrub/Shrub
Disney Wilderness Preserve,DSNY,Southeast,D03,FL,2015-17,3,2013-18,20,,,2014-18,27,Relocatable Terrestrial,"28.12504,  -81.4362",15 m,1150 mm,22C/71.6F,The Nature Conservancy,"Pasture/Hay, Woody Wetlands"
Flint River,FLNT,Southeast,D03,GA,,,,,,,,,Relocatable Aquatic,"31.18542,  -84.4374",45 m,1307 mm,19.5C/67.1F,Private Owner,Mixed Forest
Jones Ecological Research Center,JERC,Southeast,D03,GA,2016-17,2,2014-18,18,,,2014-18,26,Relocatable Terrestrial,"31.19484,  -84.46861",44 m,1307 mm,19.5C/67.1F,Private Owner,"Cultivated Crops, Deciduous Forest, Evergreen Forest, Mixed Forest"
Ordway-Swisher Biological Station,OSBS,Southeast,D03,FL,2016-17,2,2013-18,34,,,2014-18,29,Core Terrestrial,"29.68927,  -81.99343",45 m,1290 mm,20C/68F,University of Florida Foundation,"Emergent Herbaceous Wetlands, Evergreen Forest, Woody Wetlands"
Ordway-Swisher Biological Station - Suggs Lake,SUGG,Southeast,D03,FL,,,,,,,,,Core Aquatic,"29.68705,  -82.01617",32 m,1290 mm,20C/68F,University of Florida Foundation,"Evergreen Forest, Woody Wetlands"
Rio Cupeyes,CUPE,Atlantic Neotropical,D04,PR,,,,,2017-18,3,,,Core Aquatic,"18.11352,  -66.98676",257 m,1168 mm,25C/77F,Commonwealth of Puerto Rico,Evergreen Forest
